HighSpin,LowSpin
"12,773","15,609"
"16,899","23,364"
"28,059","37,934"
"42,117","48,962"
"44,043","49,194"
"53,386","54,412"
"55,977","60,235"
"63,688","69,692"
"68,321","75,063"
"76,573","84,41"
"83,482","101,766"
"102,79","122,761"
"104,894","138,193"
"123,162","143,381"
"125,2","149,013"
"142,887","181,492"
"145,482","184,691"
"161,167","204,834"
"171,985","214,595"
"183,066","253,229"
"199,229","259,845"
"240,062","260,251"
"244,895","269,657"
"245,483","281,548"
"247,813","298,776"
"261,582","316,195"
"264,297","325,67"
"283,98","332,358"
"294,141","351,139"
"303,751","359,45"
"326,562","384,546"
"349,393","395,921"
"350,166","409,949"
"376,421","410,959"
"376,637","433,993"
"413,068","443,245"
"422,175","445,66"
"430,365","462,026"
"431,813","468,215"
"463,045","511,364"
"466,889","511,371"
"476,119","524,506"
"498,886","525,129"
"506,903","539,457"
"510,941","541,396"
"516,824","546,691"
"517,661","552,436"
"554,693","584,038"
"559,241","585,189"
"612,731","642,388"
"621,753","645,754"
"637,291","646,04"
"637,752","648,439"
"649,456","657,436"
"651,33","659,371"
"676,46","668,318"
"677,016","669,977"
"679,718","687,157"
"682,293","688,215"
"706,527","702,843"
"706,593","705,451"
"719,538","706,686"
"721,917","710,759"
"769,204","762,41"
"770,125","764,191"
"818,888","818,908"
"822,063","819,749"
"824,282","827,619"
"824,596","829,113"
"832,967","830,706"
"833,153","830,903"
"886,381","835,707"
"887,162","836,568"
"890,958","883,731"
"891,587","896,6"
"892,115","896,607"
"899,681","897,602"
"907,813","899,68"
"907,881","956,534"
"958,182","970,793"
"968,452","975,118"
"971,401","980,113"
"971,819","980,538"
"1008,954","1025,834"
"1016,091","1030,492"
"1065,102","1066,325"
"1066,237","1067,567"
"1082,804","1083,985"
"1086,494","1085,789"
"1130,232","1132,415"
"1130,688","1133,485"
"1145,616","1145,861"
"1145,846","1145,862"
"1170,261","1181,352"
"1180,238","1181,806"
"1180,574","1183,026"
"1185,461","1186,196"
"1237,508","1244,719"
"1247,836","1245,79"
"1259,784","1264,794"
"1267,382","1266,787"
"1300,406","1296,22"
"1306,114","1297,077"
"1311,368","1310,84"
"1318,112","1317,762"
"1319,659","1319,049"
"1325,265","1320,939"
"1341,984","1354,487"
"1344,844","1355,24"
"1369,11","1376,75"
"1377,535","1380,107"
"1397,034","1395,221"
"1397,208","1396,112"
"1460,216","1464,43"
"1461,525","1465,021"
"1471,718","1472,264"
"1474,004","1472,742"
"1475,899","1481,415"
"1482,998","1486,169"
"1490,655","1509,081"
"1504,118","1510,744"
"1520,584","1519,637"
"1522,135","1520,527"
"1558,971","1544,869"
"1564,955","1549,795"
"1583,637","1587,292"
"1585,27","1587,313"
"1610,937","1598,721"
"1611,117","1600,922"
"1626,216","1623,247"
"1626,709","1625,941"
"1627,376","1629,417"
"1629,788","1631,467"
