index,valor,array
6,14.636382666084126,0.0992850222
7,17.70253021660191,0.200383909
8,27.72766764058884,0.121938626
9,42.28149629834103,0.105970788
10,44.715964063015115,0.0486562176
11,56.15918610128057,0.117476452
12,57.47885223958828,0.0674890858
13,67.31381694350142,0.0780412935
14,71.5448229985533,0.0876421181
15,78.6001590053584,0.0783670125
16,89.70792149498325,0.150170225
17,101.00131132701495,0.307058121
18,101.85124338511308,0.169607378
19,125.69513201069168,0.518841989
20,132.03414628034932,0.173260065
21,144.43539057307214,0.454171013
22,150.08160485321048,0.17070465
23,158.60947040872915,0.380989318
24,170.83543402388736,0.431847407
25,180.1256161038461,0.408546612
26,204.76919888829485,0.48454912
27,241.39025044650108,0.473348662
28,248.50829443914927,0.389942444
29,263.01010322234276,0.308183523
30,267.5258800746729,0.187145211
31,267.97373261200727,0.361000811
32,272.90897555571905,0.345894441
33,294.57495308879516,0.189825821
34,294.9131868625748,0.334565935
35,313.73887425008496,0.370996293
36,332.4885430699512,0.367248525
37,363.5681845191944,0.289850124
38,368.2366765988276,0.325687896
39,384.3437658881554,0.221814679
40,387.5036511155594,0.296659437
41,424.78438577262165,0.28177533
42,432.4450304712878,0.316880196
43,469.95311542425515,0.14422478
44,472.2164281667478,0.0926676051
45,495.1663050953362,0.570897055
46,503.7554397952662,0.629462183
47,518.1479327799356,0.219133437
48,520.4623415329925,0.193187071
49,520.4963161669683,0.0410450288
50,522.7697210799246,0.073637992
51,563.753964048668,0.101706606
52,564.141852858068,0.0835852165
53,567.7896284947016,0.144811376
54,568.591227307669,0.155412269
55,624.5619224141786,0.27297066
56,631.8202484816461,0.302905829
57,645.1692827507296,0.18260448
58,646.6470940568045,0.18793907
59,658.9277448819937,0.0967715742
60,659.0064243899704,0.0930492856
61,693.193595364118,0.11664997
62,694.907734100018,0.122520366
63,759.0162487344231,0.0464189643
64,759.3416477790055,0.0570719232
65,766.1717451972057,0.0846081532
66,768.0472479723044,0.0977098087
67,788.9245974848325,0.0233355102
68,789.0952225353266,0.0221627898
69,799.86175934259,0.0760546329
70,800.5969944946991,0.0837743907
71,837.9230957689824,0.242158622
72,839.7362332664059,0.241345214
73,856.0860157910477,0.102584239
74,856.4445823022043,0.100551442
75,867.2412951060115,0.0191482515
76,867.5330981992928,0.0198018563
77,904.850141313245,0.0145739352
78,905.1307518250053,0.0144104635
79,911.9812516483767,0.146419371
80,915.3117273077996,0.137929312
81,930.4279990969259,0.0037362614
82,930.4416311462201,0.00373220803
83,952.0147592058745,0.0676390062
84,952.3403217296747,0.0675339232
85,984.291592666551,0.130399358
86,987.2765287218052,0.134800953
87,994.1439545278424,0.00320736242
88,994.6582292824119,0.0039332273
89,1000.5627749386894,0.000465997016
90,1000.5805715146898,0.000521721509
91,1016.0381972203442,0.000886196743
92,1016.0858262499454,0.0010164119
93,1028.8738514867073,0.376429339
94,1031.8675420679494,0.385721252
95,1083.04313211097,0.0355961308
96,1083.2682635500676,0.0396307135
97,1110.1545408355985,0.0471776876
98,1112.1272559126169,0.051722077
99,1136.122805747993,0.0554849876
100,1136.462518510784,0.0554760999
101,1148.8160718081324,0.0182869908
102,1149.4300432126145,0.0172290579
103,1176.1880995238662,0.00552170044
104,1176.8706827589265,0.00569524369
105,1202.3309888638955,0.0481301125
106,1205.3472601066665,0.0506896787
107,1253.1768369486426,0.0234774924
108,1255.3953845964509,0.0209138752
109,1270.7476109134975,0.052007761
110,1275.6654742482253,0.0745978706
111,1331.191746708856,0.292402611
112,1335.0852833938259,0.281181601
113,1338.1248436710441,0.0155484866
114,1338.2875556404356,0.018736115
115,1359.740559031593,0.0624108092
116,1362.6309530278018,0.0727140575
117,1396.0280963740886,0.121254273
118,1404.4510195451633,0.167158025
119,1404.618755409704,0.0731533522
120,1407.6106601878416,0.0141809204
121,1416.5130279103344,0.0861672467
122,1417.0396593492474,0.0889188165
123,1481.210032731516,0.0470269698
124,1481.6961673094072,0.0538282402
125,1493.2706188816408,0.0554194003
126,1493.3371266899326,0.0619138331
127,1511.4597537779987,0.0759362658
128,1514.9451069732506,0.0645574718
129,1538.0856720502786,0.137238929
130,1550.292896924803,0.140949249
131,1584.587042298952,0.0573392796
132,1585.5735447958416,0.0604426757
133,1619.5283883871498,0.18198128
134,1621.1080130720393,0.174587539
135,1646.4034160156527,0.00554984274
136,1648.0132224704205,0.00748939024
137,1660.3536045584997,0.0434429854
138,1661.534366453522,0.0429739534
139,1666.8009224481236,0.0752154544
140,1668.2109732925678,0.111467288
141,1682.0310965981223,0.24029959
142,1682.5220059425874,0.269874951
143,3130.0717454980454,4.40925794e-05
144,3130.112152928954,4.19946339e-05
145,3197.561577103525,2.41985092e-06
146,3197.6409907739358,3.01719571e-06
147,3204.329428414455,1.53718575e-06
148,3204.3733851859806,2.11786557e-06
149,3217.1907856229313,6.09982132e-06
150,3217.208397184056,6.2217519e-06
151,3217.4604417434357,1.97867434e-06
152,3217.473580448239,2.01131402e-06
153,3226.0778490712946,5.33294085e-06
154,3226.1052269928264,5.32937062e-06
155,3231.0308892954413,4.93551987e-06
156,3231.074671840026,5.08083254e-06
157,3236.9050723647033,1.95352869e-06
158,3236.9232101069383,1.95530946e-06
