P_kbar,spin,a,b,c,alpha,beta,gamma
0.1,HS,23.375471790494164,8.847249812,12.002043938878828,90.0,115.05104354106919,90.0
0.2,HS,23.37622757922432,8.83954378,11.997808171912117,90.0,115.05307719891869,90.0
0.3,HS,23.37801499376567,8.828555122,11.993486430922008,90.0,115.03908981642815,90.0
0.4,HS,23.380276702893543,8.821123258,11.987669583204044,90.0,115.03681257410211,90.0
0.5,HS,23.38153538181074,8.814004004,11.982166885434268,90.0,115.03228401500805,90.0
0.6,HS,23.382373420541786,8.806748442,11.977067857015383,90.0,115.0253735521974,90.0
0.7,HS,23.38319078718532,8.799547134,11.97201025820771,90.0,115.01812456091481,90.0
0.8,HS,23.381607276088413,8.785966502,11.972305949331895,90.0,114.9998480126479,90.0
0.9,HS,23.382030544501006,8.77843563,11.96763804012357,90.0,114.99073341825985,90.0
1.0,HS,23.38231572966852,8.770783374,11.963344783298052,90.0,114.98176354449386,90.0
2.0,HS,23.387828994995097,8.697833472,11.923902900804293,90.0,114.92205230308785,90.0
3.0,HS,23.393639045039507,8.632514476,11.884129975567966,90.0,114.85121283690515,90.0
4.0,HS,23.398625436653873,8.57334663,11.84628739600172,90.0,114.78133307768341,90.0
5.0,HS,23.403343449583694,8.519389506,11.810710578364057,90.0,114.72143396583375,90.0
6.0,HS,23.40724161736312,8.47049748,11.777400686760588,90.0,114.67539108371379,90.0
7.0,HS,23.410619327781525,8.424937084,11.745398815834758,90.0,114.62582887805355,90.0
8.0,HS,23.412859048809054,8.383214304,11.714645932420286,90.0,114.5822782564411,90.0
9.0,HS,23.41634930185314,8.343759808,11.684947420068148,90.0,114.53838633009345,90.0
10.0,HS,23.418064644888315,8.307405094,11.656877208517072,90.0,114.50295604643495,90.0
11.0,HS,23.4183857796016,8.274242568,11.629181855534918,90.0,114.47019962981616,90.0
12.0,HS,23.421964874446783,8.24075619,11.602668776933175,90.0,114.42708784795421,90.0
13.0,HS,23.423315379826064,8.21032178,11.577100095009943,90.0,114.39411705209272,90.0
14.0,HS,23.42500621183474,8.18151532,11.551722421784689,90.0,114.3591305452126,90.0
15.0,HS,23.42571118089643,8.154344408,11.527808676272212,90.0,114.33223219893394,90.0
0.1,LS,23.122761614681618,9.082440698,12.076077336615842,90.0,119.1558734212796,90.0
0.2,LS,23.121373249879937,9.078641898,12.071643656519354,90.0,119.16196311915006,90.0
0.3,LS,23.117539053953056,9.07248207,12.068689981479388,90.0,119.1794011376043,90.0
0.4,LS,23.11554031198555,9.06753439,12.064449983353835,90.0,119.18506839254997,90.0
0.5,LS,23.113880428910814,9.062729372,12.060261982596053,90.0,119.1897709034212,90.0
0.6,LS,23.112086770862305,9.057954978,12.05601553467619,90.0,119.19508445266902,90.0
0.7,LS,23.109446304740608,9.054152824,12.05125322523801,90.0,119.20588859467944,90.0
0.8,LS,23.1077389011838,9.04952961,12.047064910111276,90.0,119.21129756858015,90.0
0.9,LS,23.105993457689813,9.044932268,12.042874625793694,90.0,119.21666457883393,90.0
1.0,LS,23.101342058682178,9.04189565,12.038870294118091,90.0,119.24250196887849,90.0
2.0,LS,23.08162794023543,8.99923062,12.000065473403742,90.0,119.30844648246635,90.0
3.0,LS,23.070076898500766,8.955469132,11.965855068768278,90.0,119.3719831077785,90.0
4.0,LS,23.059596348874823,8.91557121,11.932311628780948,90.0,119.41512911072944,90.0
5.0,LS,23.046445570131816,8.878783324,11.901038263852882,90.0,119.44970388656056,90.0
6.0,LS,23.039238968982563,8.843005122,11.869633657104828,90.0,119.4715017876601,90.0
7.0,LS,23.041792915480006,8.805043316,11.837128361221183,90.0,119.46180036359914,90.0
8.0,LS,23.031400174530813,8.773532196,11.810018730734484,90.0,119.47482592496712,90.0
9.0,LS,23.021709697268758,8.743326496,11.784299386980514,90.0,119.4826620662055,90.0
10.0,LS,23.017236416477658,8.710040394,11.760169290428468,90.0,119.46837471427918,90.0
11.0,LS,23.008783074534872,8.681167172,11.737424684581297,90.0,119.46798459959086,90.0
12.0,LS,23.00060538368705,8.653499054,11.71550343562486,90.0,119.46621116243882,90.0
13.0,LS,22.9934211483355,8.62606277,11.695047364206996,90.0,119.45948634059432,90.0
14.0,LS,22.986581858507197,8.599076732,11.675764824711807,90.0,119.45033111666535,90.0
15.0,LS,22.979861002691468,8.573385722,11.656761269113302,90.0,119.4407249723251,90.0
